city,auction_house,exhibition,image_url,artist,title,price,low_estimate,signature,size,created,auction_lot,auction_date,medium
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/120_1.jpg,Roy Lichtenstein,HOLOGRAM INTERIOR (STUDY),-not sold-,"$50,000","$70,000",Signed and Dated,"4.25"" x 3.88",1996,120,11/15/2018,Colored Pencil and graphite / Paper
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/121_1.jpg,Louise Bourgeois,FIGURE,"$200,000","$200,000","$300,000",Signed Initials,"14.75"" x 7.25"" x 5.88",1960,121,11/15/2018,Bronze with patina
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/122_1.jpg,Joel Elias Shapiro,UNTITLED,"$23,750","$18,000","$25,000",Stamped,"7.75"" x 6.25"" x 3.25",1987,122,11/15/2018,Bronze
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/123_1.jpg,Enrico Castellani,UNTITLED,"$30,000","$30,000","$40,000",Signed and Dated,"27.38"" x 41.25",1965,123,11/15/2018,paper relief
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/125_1.jpg,James Bishop,UNTITLED,-not sold-,"$10,000","$15,000",Signed on Reverse,"5.25"" x 5.25",2007,125,11/15/2018,Oil and crayon / Paper
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/126_1.jpg,Donald Clarence Judd,UNTITLED,"$22,500","$20,000","$30,000",Signed and Dated,"14.25"" x 17.00",1978,126,11/15/2018,graphite / Paper
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/127_1.jpg,Takuro Kuwata,I. YELLOW-GREEN SLIPPED PLATINUM KAIRAGI SHINO BOWL II. RED SLIPPED GOLD KAIRAGI SHINO BOWL III. RED SLIPPED PLATINUM KAIRAGI SHINO BOWL [THREE WORKS],"$16,250","$3,000","$5,000",Unavailable,Dimensions not available,2013,127,11/15/2018,glazed porcelain
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/128_1.jpg,Pae White,ARTIFICIALLY DEPRESSED GROUPING (5 parts),"$18,750","$15,000","$20,000",Unavailable,Dimensions not available,2012,128,11/15/2018,Porcelain and platinum paint
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/129_1.jpg,Frank Stella,UNTITLED,"$325,000","$100,000","$150,000",Signed,"17.13"" x 22.00",1966,129,11/15/2018,Marker and graphite / Paper
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/130_1.jpg,Kenneth Noland,SAND,"$531,000","$250,000","$350,000",Signed and Dated,"34.00"" x 34.00",1964,130,11/15/2018,Acrylic / Canvas
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/131_1.jpg,Ad Reinhardt,ABSTRACT PAINTING,"$495,000","$400,000","$600,000",Unavailable,"40.50"" x 20.13",1957,131,11/15/2018,Oil / Canvas
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/132.jpg,Cy Twombly,Untitled,"$3,135,000","$1,200,000","$1,800,000",Signed and Dated,"27.38"" x 34.38",1970,132,11/15/2018,"Oil , wax crayon and graphite / Paper"
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/133.jpg,Lee Bontecou,DO,"$567,000","$300,000","$400,000",Unavailable,"23.00"" x 22.00"" x 23.00",1985,133,11/15/2018,"Ceramic , welded steel, silk, wire and copper"
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/134_1.jpg,Joan Mitchell,UNTITLED,"$3,015,000","$1,500,000","$2,000,000",Signed on Reverse,"37.75"" x 34.63",c. 1956,134,11/15/2018,Oil / Canvas
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/135_1.jpg,Isamu Noguchi,CAPITAL #2,"$735,000","$600,000","$800,000",Unavailable,"11.50"" x 21.00"" x 20.00",1942,135,11/15/2018,Marble
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/136_1.jpg,Guenther Uecker,SPIRALE I,"$795,000","$600,000","$800,000",Signed and Dated,"39.50"" x 39.50",1968,136,11/15/2018,Oil on nails and canvas mounted on wood
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/137_1.jpg,Olga de Amaral,CESTA LUNAR 50A,"$555,000","$280,000","$380,000",Signed and Dated,"139.75"" x 87.00",1991,137,11/15/2018,"Acrylic , gold leaf and gesso / Linen"
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/138_1.jpg,Jean Dubuffet,BARBU HIRSUTE,"$2,031,000","$1,200,000","$1,800,000",Signed and Dated,"18.50"" x 15.00",1945-46,138,11/15/2018,"Oil , sand, rocks, twine and gold foil / Canvas"
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/139_1.jpg,Alexander (Sandy) Calder,UNTITLED,"$325,000","$200,000","$300,000",Unavailable,"4.50"" x 4.50"" x 2.50",c. 1953,139,11/15/2018,Wire and painted metal
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/140_1.jpg,Sam Lewis Francis,UNTITLED,"$915,000","$800,000","$1,200,000",Signed and Dated,"25.50"" x 21.25",1954,140,11/15/2018,Oil / Canvas
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/141_1.jpg,Helen Frankenthaler,U-TURN,"$735,000","$500,000","$700,000",Signed and Dated,"33.00"" x 97.75",1966,141,11/15/2018,Acrylic / Canvas
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/142_1.jpg,Josef Albers,HOMAGE TO THE SQUARE,"$262,500","$200,000","$300,000",Signed and Dated,"15.88"" x 15.88",1969,142,11/15/2018,Oil / Masonite
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/143_1.jpg,Adolph Gottlieb,MOOD,"$1,179,000","$800,000","$1,200,000",Signed and Dated,"60.00"" x 48.00",1969,143,11/15/2018,Oil / Canvas
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/144_1.jpg,John Harvey McCracken,NINE PLANKS II,withdrawn,"$400,000","$600,000",Signed and Dated,"96.13"" x 19.00"" x 2.25",1974,144 WITHDRAWN,11/15/2018,polyester resin and fiberglass on plywood
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/145_1.jpg,Donald Clarence Judd,UNTITLED,"$795,000","$500,000","$700,000",Stamped,"9.75"" x 39.38"" x 9.75",1988,145,11/15/2018,anodized aluminum and yellow acrylic sheet
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/146_1.jpg,Dan Flavin,UNTITLED (TO PAT AND BOB ROHM),"$175,000","$150,000","$200,000",Signed with Certificate,"96.00"" x 24.00"" x 8.00",1973,146,11/15/2018,"red, yellow and green fluorescent light"
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/147_1.jpg,Sol LeWitt,BRUSHSTROKES,"$300,000","$150,000","$200,000",Signed and Dated,"60.00"" x 60.00",1996,147,11/15/2018,Gouache / Paper
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/148_1.jpg,Dan Flavin,ICON VI (IRELAND DYING),"$81,250","$50,000","$70,000",Signed Initials,"11.00"" x 13.50",1962,148,11/15/2018,Colored Pencil and pastel / Paper
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/149_1.jpg,Donald Clarence Judd,UNTITLED (DSS 66),"$975,000","$900,000","$1,200,000",Signed,"6.00"" x 27.00"" x 26.00",1965,149,11/15/2018,galvanized iron
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/150_1.jpg,Roy Lichtenstein,CERAMIC SCULPTURE 11,-not sold-,"$350,000","$450,000",Signed and Dated,"7.50"" x 8.50"" x 8.50",1965,150,11/15/2018,glazed ceramic
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/151_1.jpg,Ed Ruscha,STAINS (ENGBERG B9),"$81,250","$30,000","$40,000",Signed,"12.50"" x 11.50"" x 11.50",1969,151,11/15/2018,portfolio
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/152_1.jpg,Andy Warhol,PRINTED DOLLAR #6,"$225,000","$200,000","$300,000",Signed and Titled,"6.00"" x 10.00",1962,152,11/15/2018,Acrylic and silkscreen ink / Canvas
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/153_1.jpg,Andy Warhol,DEL MONTE PEACH HALVES,"$312,500","$200,000","$300,000",Unavailable,"9.50"" x 12.00"" x 15.00",1964,153,11/15/2018,silkscreen ink and house paint on wood
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/154_1.jpg,Richard Artschwager,QUOTATION MARKS (2),"$212,500","$60,000","$80,000",Unavailable,Dimensions not available,1966,154,11/15/2018,Acrylic on Formica and wood
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/155_1.jpg,Roy Lichtenstein,PENDANT,"$68,750","$25,000","$35,000",Signed and Dated,"3.50"" x 2.00",1966,155,11/15/2018,cloisonne
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/157.jpg,Ed Ruscha,MEAN AS HELL,"$1,395,000","$1,200,000","$1,800,000",Signed and Dated,"22.00"" x 80.00",1979,157,11/15/2018,Oil / Canvas
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/158.jpg,Barkley Leonnard Hendricks,SIR NELSON. SOLID!,"$783,000","$500,000","$700,000",Signed and Dated,"46.00"" x 30.00",1970,158,11/15/2018,Oil / Canvas
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/159_1.jpg,Roy Lichtenstein,PUZZLE PORTRAIT (STUDY),withdrawn,"$250,000","$350,000",Unavailable,"4.25"" x 3.50",1978,159 WITHDRAWN,11/15/2018,Colored Pencil and graphite / Paper
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/160_1.jpg,Andy Warhol,JUDITH GREEN [THREE WORKS],"$1,155,000","$800,000","$1,200,000",Unavailable,Dimensions not available,1963,160,11/15/2018,Acrylic and silkscreen ink / Canvas
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/161_1.jpg,Andy Warhol,FLOWERS,"$237,500","$200,000","$300,000",Signed and Dated,"8.00"" x 8.00",1964,161,11/15/2018,Acrylic and silkscreen ink / Canvas
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/162.jpg,Elaine Frances (Horan) Sturtevant,JOHNS WHITE NUMBERS,"$807,000","$500,000","$700,000",Signed and Dated,"67.00"" x 49.50",1991,162,11/15/2018,Encaustic / Canvas
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/163.jpg,Andy Warhol,ONE DOLLAR BILLS (BACKS),-not sold-,"$400,000","$600,000",Unavailable,"8.63"" x 39.13",1962,163,11/15/2018,Acrylic and silkscreen ink / Canvas
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/164.jpg,Tom Wesselmann,18 YEAR OLD ON THE BEACH,"$3,015,000","$1,000,000","$1,500,000",Signed and Dated,"61.00"" x 72.00",1984,164,11/15/2018,Oil / Canvas
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/165.jpg,Robert E (Clark) Indiana,ASPEN LOVE (4 parts),"$879,000","$700,000","$900,000",Signed Initials,Dimensions not available,1968,165,11/15/2018,Oil / Canvas
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/166_1.jpg,Andy Warhol,UNTITLED (FOLDING SCREEN),"$615,000","$400,000","$600,000",Signed,"68.25"" x 55.00",c. 1957,166,11/15/2018,"Watercolor and ink , silver leaf, gold and silver applique on primed cardboard and wood screen"
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/167_1.jpg,Allan D'Arcangelo,BLIND WINDOW,"$32,500","$40,000","$60,000",Signed and Dated,"50.00"" x 36.00"" x 5.50",1964,167,11/15/2018,Acrylic on canvas with aluminum and fabric
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/168_1.jpg,Claes Thure Oldenburg,STUDY OF A SWEDISH LIGHT SWITCH,-not sold-,"$200,000","$300,000",Signed and Dated,"59.88"" x 59.88",1966,168,11/15/2018,Watercolor and chalk / Cardboard
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/169_1.jpg,Claes Thure Oldenburg,WEDDING SOUVENIR [18 WORKS],-not sold-,"$200,000","$300,000",Stamped,Dimensions not available,1966,169,11/15/2018,painted plaster
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/170_1.jpg,Alex Katz,ADA WITH COFFEE,"$187,500","$150,000","$200,000",Unavailable,"23.88"" x 42.63",c. 1970,170,11/15/2018,Oil on shaped aluminum
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/171_1.jpg,Alex Katz,LONG AFTERNOON,"$93,750","$50,000","$70,000",Signed and Dated,"16.75"" x 22.00",1986,171,11/15/2018,Oil / Panel
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/172_1.jpg,Robert E (Clark) Indiana,DECADE,"$423,000","$400,000","$600,000",Unavailable,"48.00"" x 48.00",1966,172,11/15/2018,Oil / Canvas
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/173_1.jpg,Andy Warhol,LADIES AND GENTLEMEN,"$225,000","$150,000","$200,000",Unavailable,"14.00"" x 11.00",1975,173,11/15/2018,Acrylic and silkscreen ink / Canvas
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/174_1.jpg,John Angus Chamberlain,KIDD EAU,"$855,000","$700,000","$1,000,000",Unavailable,"100.00"" x 45.75"" x 47.50",1991,174,11/15/2018,painted and chromium-plated steel
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/175_1.jpg,Ed Ruscha,THE WORLD,-not sold-,"$200,000","$300,000",Signed and Dated,"23.00"" x 29.00",1977,175,11/15/2018,carrot juice / Paper
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/176_1.jpg,Richard Diebenkorn,UNTITLED,-not sold-,"$400,000","$600,000",Signed Initials,"24.00"" x 16.88",1977,176,11/15/2018,"Gouache , crayon and tape on two joined sheets of paper"
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/177_1.jpg,Richard Diebenkorn,UNTITLED,"$287,500","$250,000","$350,000",Signed Initials,"25.00"" x 22.00",1981,177,11/15/2018,"Gouache , crayon and graphite / Paper"
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/178_1.jpg,David Hockney,TIM,-not sold-,"$50,000","$70,000",Signed Initials,"13.88"" x 17.00",1976,178,11/15/2018,Ink / Paper
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/179_1.jpg,Wayne Thiebaud,INTERSECTION,"$312,500","$250,000","$350,000",Signed and Dated,"16.00"" x 20.00",1977-78,179,11/15/2018,graphite / Paper
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/180_1.jpg,Wayne Thiebaud,HAMBURGERS,-not sold-,"$150,000","$200,000",Signed and Dated,"15.38"" x 19.63",1964,180,11/15/2018,Ink / Paper
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/181_1.jpg,Wayne Thiebaud,PEPPERMINT STICKS,-not sold-,"$80,000","$120,000",Signed and Dated,"9.13"" x 9.50",1964,181,11/15/2018,Ink / Paper
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/182_1.jpg,Wayne Thiebaud,THREE CIGARS,-not sold-,"$400,000","$600,000",Signed and Dated,"8.00"" x 11.00",1973,182,11/15/2018,Oil / Board
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/183_1.jpg,Wayne Thiebaud,ARIZONA,"$507,000","$250,000","$350,000",Signed and Dated,"9.13"" x 12.13",1967,183,11/15/2018,Oil / Canvas
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/184_1.jpg,Wayne Thiebaud,DESERT CLOUDS,"$325,000","$250,000","$350,000",Signed and Dated,"10.00"" x 13.38",1996,184,11/15/2018,Oil / Board
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/185_1.jpg,Wayne Thiebaud,NIGHT RIVER,-not sold-,"$300,000","$400,000",Unavailable,"14.00"" x 11.00",1995,185,11/15/2018,Oil on canvas mounted on board
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/186_1.jpg,Wayne Thiebaud,"RIDGE STUDY (STUDY FOR ""BLUE HILL"")","$100,000","$100,000","$150,000",Signed and Dated,"8.25"" x 10.75",1967,186,11/15/2018,"Watercolor and gouache , wax crayon and graphite / Paper"
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/187_1.jpg,Wayne Thiebaud,UNTITLED (SACRAMENTO RIVER STUDY),-not sold-,"$100,000","$150,000",Signed and Dated,"11.25"" x 14.50",1982,187,11/15/2018,"Acrylic , pastel, crayon and graphite / Paper"
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/188_1.jpg,Wayne Thiebaud,BETTY JEAN IN HOUSECOAT,"$12,500","$12,000","$18,000",Signed and Dated,"10.75"" x 7.25",1964,188,11/15/2018,graphite / Paper
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/189_1.jpg,Wayne Thiebaud,MALLARY ANN,"$36,250","$18,000","$25,000",Signed and Dated,"16.75"" x 13.75",1966,189,11/15/2018,graphite / Paper
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/190_1.jpg,Alex Katz,THAI RESTAURANT,"$435,000","$300,000","$400,000",Unavailable,"72.00"" x 96.00",1980,190,11/15/2018,Oil / Linen
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/191_1.jpg,Alex Katz,ELI AT DUCKTRAP,"$312,500","$200,000","$300,000",Unavailable,"49.75"" x 71.50",1958,191,11/15/2018,Oil / Linen
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/192_1.jpg,Alex Katz,SUPERB LILLIES,-not sold-,"$30,000","$40,000",Signed,"9.25"" x 12.00",1966,192,11/15/2018,Oil / Panel
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/193_1.jpg,Alex Katz,I. MARGARET MACKAY II. TOM MACKAY [TWO WORKS],-not sold-,"$60,000","$80,000",Unavailable,Dimensions not available,1981,193,11/15/2018,Oil on shaped aluminum
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/194_1.jpg,Fernando Botero,STILL LIFE WITH ORANGES,"$325,000","$300,000","$400,000",Signed and Dated,"34.00"" x 41.88",1969,194,11/15/2018,Oil / Canvas
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/195_1.jpg,Claudio Bravo,BAMB E HIGOS,-not sold-,"$150,000","$200,000",Signed and Dated,"43.50"" x 51.25",MCMLXXIV,195,11/15/2018,Oil / Canvas
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/196_1.jpg,Fernando Botero,EL BOSQUE,"$555,000","$400,000","$600,000",Signed and Dated,"64.00"" x 72.00",1967,196,11/15/2018,Oil / Canvas
