"","auction_house","city","idd","exhibition","artist","title","price","sold","avg_estimate","area","year_created","auction_lot","auction_date","rate_sold_before","avg_price_sold_before","num_artworks","avg_price_sold","num_artists","sale_rate","volatility_before","volatility","skew_before","skew","medium","artist_median_price","artist_volume","artist_lots_sold","lot_position","caliber"
"31","Bonhams Bond Street","London","6c445e4e645442c09c6c500646379163","post-war & contemporary art 3/8/2017","Victor Vasarely","Tridim-RR",3977,1,7800,992.124,1968,0.536231884057971,"03/08/2017",0.837837837837838,24745,2,19426,50,0.863636363636364,27561.9248107165,23919.643931398,0.917787652857278,1.38285305307736,"acrylic / canvas on board",7079,107,0.798507462686567,"Medium","Medium"
"32","Bonhams Bond Street","London","cd32d56cac1546f38f4fef8d73724f58","post-war & contemporary art 3/8/2017","Francois Charles Alexis Albert Morellet","20% de Carrs Superposs",3307,1,1535,992.25,1970,0.652173913043478,"03/08/2017",0.844444444444444,22887,1,19426,50,0.863636363636364,25816.0491174775,23919.643931398,1.08059599164717,1.38285305307736,"acrylic / board",7444,13,0.764705882352941,"Medium","Medium"
"33","Bonhams Bond Street","London","1c631ed1eba744a9a7a4fefc11fd5072","post-war & contemporary art 3/8/2017","Roberto Matta","Untitled",8676,1,5574,1531.156,1972,0.753623188405797,"03/08/2017",0.865384615384615,23154,1,19426,50,0.863636363636364,25697.8785462493,23919.643931398,1.03213613911466,1.38285305307736,"oil / canvas",8676,23,0.741935483870968,"Late","Medium"
"34","Bonhams Bond Street","London","6c273c7f8647418dbcf622965883572d","post-war & contemporary art 6/29/2017","Toshimitsu Imai","Untitled",37168,1,2928,611.0124,1963,0.65,"06/29/2017",0.923076923076923,45134,1,36999,30,0.918918918918919,66858.8517250562,58910.7302337885,3.22233178935792,3.66928622061975,"oil / canvas",8223,11,0.846153846153846,"Medium","Medium"
"35","Bonhams Bond Street","London","831d2d5973f745ad993e2e88ba48bdd3","post-war & contemporary art 6/29/2017","Victor Vasarely","Tau-2",5558,1,6528,3331.8744,1973,0.9,"06/29/2017",0.9375,38728,1,36999,30,0.918918918918919,61464.4139581776,58910.7302337885,3.5812661694581,3.66928622061975,"acrylic / canvas",7079,107,0.798507462686567,"Late","Medium"
"36","Bonhams Bond Street","London","f351f78db04443d7965d495f5ee863d7","post-war & contemporary art 6/29/2017","Antonio Saura","Retrato no. 68/Autoportrait 1959",5271,1,7630,689.3508,1959,0.925,"06/29/2017",0.939393939393939,37658,2,36999,30,0.918918918918919,60734.3193724586,58910.7302337885,3.63890201128521,3.66928622061975,"oil / canvas",10058.5,26,0.722222222222222,"Late","Medium"
"37","Bonhams Bond Street","London","21045f65e9d045a48db1e4942b4c2071","post-war & contemporary art 6/29/2017","Antonio Saura","Rubiloba",79752,1,63783,3267.81,1962,0.95,"06/29/2017",0.941176470588235,36646,2,36999,30,0.918918918918919,60029.7679533025,58910.7302337885,3.69554168322691,3.66928622061975,"oil / canvas",10058.5,26,0.722222222222222,"Late","Medium"
"38","Bonhams Bond Street","London","dfa3d59dc3d44d0bb46db0851dd6f96e","post-war & contemporary art 6/29/2017","Andre Lanskoy","L'ombre de ton jardin",0,0,2974,1007.4783,1963,0.975,"06/29/2017",0.942857142857143,37952,1,36999,30,0.918918918918919,59550.6664308634,58910.7302337885,3.61722729570355,3.66928622061975,"oil / canvas",6789,19,0.791666666666667,"Late","Medium"
"39","Bonhams Bond Street","London","ac940add50d84f389a212d8cdfe1d2ba","post-war & contemporary art 06/29/2016","Toshimitsu Imai","Untitled 1961",8223,1,5758,489.9084,1961,0.810810810810811,"06/29/2016",0.827586206896552,41113,1,35176,33,0.861111111111111,92545.2465904816,82688.3678036471,4.03131666932102,4.5702329013326,"oil / paper",8223,11,0.846153846153846,"Late","Medium"
"40","Bonhams Bond Street","London","7eb56f4fe75347ceab595aad6660c3f4","post-war & contemporary art 06/29/2016","Kazuo Shiraga","Auspicious Yellow 1970",5211,1,3564,95.1678,1970,0.864864864864865,"06/29/2016",0.833333333333333,39798,1,35176,33,0.861111111111111,90886.0514147248,82688.3678036471,4.12590220604533,4.5702329013326,"oil / canvas on board",45825,21,0.84,"Late","Medium"
"41","Bonhams Bond Street","London","32f4fb90340f42fa85ef028e9ceb0298","post-war & contemporary art 06/29/2016","Roberto Matta","Sangue Veloce 1969",2876,1,4117,758.1612,1969,1,"06/29/2016",0.857142857142857,36253,1,35176,33,0.861111111111111,83858.2177408193,82688.3678036471,4.49240016961405,4.5702329013326,"oil / canvas",8676,23,0.741935483870968,"Late","Medium"
"42","Bonhams Bond Street","London","67ac8f0e01af47eabd6f5bfe7bd8f1ad","post-war & contemporary art 10/17/2014","Jean-Paul Riopelle","Untitled 1965",0,0,1412,80.7,1965,0.3125,"10/17/2014",0.875,37569,2,20537,23,0.76,36913.5027006738,26606.1753604876,0.302358917142718,1.59738410119069,"ink / paper",17845,19,0.730769230769231,"Early","Medium"
"43","Bonhams Bond Street","London","6a9001f817c54192ab5e23529197d310","post-war and contemporary art 02/12/2015","Roberto Matta","Ouvrez c'est nous",32260,1,5474,2607.3003,1957,0.955555555555556,"02/12/2015",0.771428571428571,20263,1,19459,32,0.789473684210526,27495.4425454142,26514.7071054705,1.60459816676753,1.68060750167582,"oil / canvas",8676,23,0.741935483870968,"Late","Medium"
"44","Bonhams Bond Street","London","a667c96356ad4bb0aff632e73a98d17d","post war and contemporary art & design","Karel Christiaan Appel","Birds Waiting as Still Life",8280,1,8309,1040.9628,1971,0.80327868852459,"09/22/2010",0.666666666666667,1787,1,2200,45,0.666666666666667,1934.61238022721,2697.18961311097,1.85719063256321,1.93971176056739,"oil / canvas",8211,57,0.695121951219512,"Late","Medium"
"45","Bonhams Bond Street","London","26a01b6fd1ce4152ba748af6cda6f742","post war and contemporary art & design","Andre Lanskoy","Untitled 1967",0,0,7174,192.5093,1967,0.163934426229508,"03/10/2010",0.71875,2903,1,2208,45,0.666666666666667,3055.49869080767,2697.18961311097,1.36493881766921,1.93971176056739,"oil / canvas",6789,19,0.791666666666667,"Early","Medium"
"46","Bonhams Bond Street","London","2a61d8af971f43a492ae45811b11a28e","post war and contemporary art & design","Alighiero E Boetti","'La Meta e Il Doppio' 1974",0,0,8606,1085.0372,1974,0.295081967213115,"03/10/2010",0.722222222222222,2661,1,2208,45,0.666666666666667,2932.94457326123,2697.18961311097,1.55199886124345,1.93971176056739,"ink / paper",6618.5,126,0.881118881118881,"Early","Medium"
"47","Bonhams Bond Street","London","14a4f3913cfe4c69b9f38df076d59eb9","post war and contemporary art & design","David Hockney","'Richard Neville Naked' 1971",1558,1,4300,233.2954,1971,0.475409836065574,"03/10/2010",0.720930232558139,2358,1,2208,45,0.666666666666667,2752.33818146326,2697.18961311097,1.82753523957794,1.93971176056739,"ink / paper",8885.5,88,0.814814814814815,"Medium","Medium"
"48","Bonhams Bond Street","London","1a80041893df4426b5611a90d5cfedcb","contemporary art 10/16/2013","Victor Vasarely","Grille",7971,1,4674,106.9986,1952,0.575,"10/16/2013",0.521739130434783,5267,1,6236,31,0.682926829268293,3495.20465145541,5017.43770488972,-0.00990686243387231,2.4095056104943,"tempera on board laid on panel",7079,107,0.798507462686567,"Medium","Medium"
"49","Bonhams Bond Street","London","c58eae3b9f8647c2a74eb5491c77a6ce","contemporary art 10/16/2013","Fateh Moudarres","Untitled",1731,1,692,550.3355,1960,0.65,"10/16/2013",0.538461538461538,5653,2,6236,31,0.682926829268293,3353.31757749101,5017.43770488972,-0.271911384353763,2.4095056104943,"oil / card",4755,25,0.806451612903226,"Medium","Medium"
"50","Bonhams Bond Street","London","6d552f28b1464ba7b6cd91f0bc06173b","contemporary art 10/16/2013","Fateh Moudarres","Untitled",4851,1,396,547.8928,1960,0.675,"10/16/2013",0.555555555555556,5392,2,6236,31,0.682926829268293,3364.83276784383,5017.43770488972,-0.118909571029681,2.4095056104943,"oil / card",4755,25,0.806451612903226,"Late","Medium"
"51","Bonhams Bond Street","London","58ccd65170f14239b32b99078ae83307","contemporary art and design 06/27/2013","Fateh Moudarres","Untitled",4755,1,658,494.802,1960,0.486111111111111,"06/27/2013",0.666666666666667,8515,1,7544,44,0.724137931034483,16240.0377414907,13931.6716477526,2.96831959765792,3.33483299687262,"oil / card",4755,25,0.806451612903226,"Medium","Medium"
"52","Bonhams Bond Street","London","1681085c83484711b03d16b0668c3121","post-war & contemporary art 3/8/2017","Wou-Ki Zao","23.05.50",43053,1,64771,236.2881,1950,0.0289855072463768,"03/08/2017",0,0,2,19426,50,0.863636363636364,0,23919.643931398,0,1.38285305307736,"oil / canvas",69146.5,26,0.896551724137931,"Early","Medium"
"53","Bonhams Bond Street","London","625d8a035d6f433baa1c9d0d7235aee1","post-war & contemporary art 3/8/2017","Piero Dorazio","Grisaille XXXIV",1741,1,4807,1875.7561,1976,0.144927536231884,"03/08/2017",0.7,39033,2,19426,50,0.863636363636364,32246.2965441975,23919.643931398,0.110389235707062,1.38285305307736,"oil / canvas",7190,28,0.96551724137931,"Early","Medium"
"54","Bonhams Bond Street","London","b2344e1663d249c9bba737fa2909b051","post-war & contemporary art 3/8/2017","Piero Dorazio","Attractions",8006,1,5992,1207.7059,1967,0.159420289855072,"03/08/2017",0.727272727272727,34371,2,19426,50,0.863636363636364,32451.2646132628,23919.643931398,0.342315789422289,1.38285305307736,"oil / canvas",7190,28,0.96551724137931,"Early","Medium"
"55","Bonhams Bond Street","London","66f759ca850f44a2a3277c16a8d8805d","post-war & contemporary art 6/29/2017","Piero Dorazio","Individuato",7220,1,6528,923.589,1968,0.375,"06/29/2017",0.933333333333333,58293,1,36999,30,0.918918918918919,82532.9836600903,58910.7302337885,2.49619350956935,3.66928622061975,"oil / canvas",7190,28,0.96551724137931,"Medium","Medium"
"56","Bonhams Bond Street","London","af769f6d62fc435eb2b52de2d51a5b21","post-war & contemporary art 07/02/2014","Luis Feito Lpez","Untitled",0,0,827,416.6473,1959,0.576923076923077,"07/02/2014",0.72,25567,1,25995,35,0.590909090909091,45791.4758126309,40092.139581382,2.81237221704281,2.90596084120268,"oil / paper",4181,15,0.789473684210526,"Medium","Medium"
"57","Bonhams Bond Street","London","4969c58cef824c77896ba453113df218","post-war & contemporary art 06/29/2016","Valerio Adami","La stanza da bagno 1967-1968",2605,1,3840,1255.5093,1967,0.432432432432432,"06/29/2016",0.8,57060,1,35176,33,0.861111111111111,125284.53492617,82688.3678036471,2.88072750057592,4.5702329013326,"acrylic / canvas",4165.5,16,0.941176470588235,"Medium","Medium"
"58","Bonhams Bond Street","London","10c87675e2954bfda83ad563f7f1dd94","contemporary art 10/16/2013","Paul Jenkins","Phenomenon Ore Vein",0,0,844,154.9578,1962,0.325,"10/16/2013",0.538461538461538,5649,1,6236,31,0.682926829268293,3574.09100760071,5017.43770488972,-0.106609715939054,2.4095056104943,"oil / canvas",4093.5,16,0.888888888888889,"Early","Medium"
"59","Bonhams Bond Street","London","3302e03fadaf4ae080aa4c27b985c3a9","post-war & contemporary art 3/8/2017","Kazuo Shiraga","Floating Flag",2411,1,1535,94.6542,1970,0.27536231884058,"03/08/2017",0.789473684210526,26226,2,19426,50,0.863636363636364,28821.8577857539,23919.643931398,0.770832824574538,1.38285305307736,"oil / canvas on board",45825,21,0.84,"Early","Medium"
"60","Bonhams Bond Street","London","716eb6496101429f9c7b59445525d50d","post war and contemporary art and design 04/13/2011","Richard Pettibone","Andy Warhol 'Liz Diptych",6300,1,7026,107.3664,1963,0.626666666666667,"04/13/2011",0.5,1592,1,2882,25,0.567567567567568,1989.65035140181,2670.38088190089,2.57953696485244,1.31430003917549,"oil / canvas",6076,27,0.870967741935484,"Medium","Medium"
"61","Bonhams Bond Street","London","261115a726624797935410b285b51afd","post war and contemporary art and design 04/13/2011","Sandro Chia","Wishful Thinking",234,1,2122,3038.2144,1974,0.653333333333333,"04/13/2011",0.52,1954,2,2882,25,0.567567567567568,2217.03646483104,2670.38088190089,1.80758077648736,1.31430003917549,"oil / canvas",2440,14,0.636363636363636,"Medium","Medium"
"62","Bonhams Bond Street","London","e16155791e22496eac24dbc678becd23","post war and contemporary art and design 04/13/2011","Andre Lanskoy","L'vasion rate",8634,1,17727,1944.3282,1962,0.6,"04/13/2011",0.478260869565217,952,1,2882,25,0.567567567567568,614.068588518383,2670.38088190089,0.96577933286977,1.31430003917549,"oil / canvas",6789,19,0.791666666666667,"Medium","Medium"
"63","Bonhams Bond Street","London","b3322c6fb6cf4b30acebd0fe57a4794d","contemporary two 03/29/2012","Victor Vasarely","Bidim-Sarga",6374,1,7485,1128.645,1973,0.379032258064516,"03/29/2012",0.636363636363636,3118,1,3265,45,0.636363636363636,3432.43343500122,3474.48453566445,0.970654313189039,1.16632730643855,"acrylic / board",7079,107,0.798507462686567,"Medium","Medium"
"64","Bonhams Bond Street","London","dcfe0cf387d4499d9ef4e950994801c0","contemporary two 03/29/2012","Andre Lanskoy","Untitled",10185,1,8498,1137.2418,1958,0.57258064516129,"03/29/2012",0.588235294117647,2929,1,3265,45,0.636363636363636,3092.29101921213,3474.48453566445,1.08166989268668,1.16632730643855,"oil / canvas",6789,19,0.791666666666667,"Medium","Medium"
"65","Bonhams Bond Street","London","db6deb3ea4db45bfac59f27193440a02","post-war & contemporary art 06/29/2016","Piero Dorazio","Emesa III 1975",8505,1,4606,1220.7702,1975,0.27027027027027,"06/29/2016",0.777777777777778,86607,1,35176,33,0.861111111111111,157293.959534759,82688.3678036471,1.96604323387615,4.5702329013326,"oil / canvas",7190,28,0.96551724137931,"Early","Medium"
"66","Bonhams Bond Street","London","e3af83e1e3714ee3bccbf2b34403c99f","post war and contemporary art and design 04/13/2011","Paul Jenkins","Phenomenon Ore Vein",915,1,573,152.523,1962,0.0666666666666667,"04/13/2011",0.75,558,1,2882,25,0.567567567567568,267.001040364182,2670.38088190089,-0.636333611031647,1.31430003917549,"oil / canvas",4093.5,16,0.888888888888889,"Early","Medium"
"67","Bonhams Bond Street","London","afa7ae9c23b34a23b4ef968be0e85579","post-war & contemporary art 06/29/2016","Serge Poliakoff","Composition Abstraite 1964",1375,1,4388,146.4814,1964,0.135135135135135,"06/29/2016",0.75,18007,1,35176,33,0.861111111111111,17989.9867210129,82688.3678036471,0.619144951065914,4.5702329013326,"oil / canvas",42003,42,0.763636363636364,"Early","Medium"
"68","Bonhams Bond Street","London","d4d6c65f47784494bc23502687e2b47d","contemporary two 03/29/2012","Jean-Paul Riopelle","Granit",8214,1,5257,383.638,1956,0.0806451612903226,"03/29/2012",0.833333333333333,2846,1,3265,45,0.636363636363636,3351.42801802456,3474.48453566445,1.49813383672403,1.16632730643855,"oil / canvas",17845,19,0.730769230769231,"Early","Medium"
"69","Bonhams Bond Street","London","1abad455f2d3492cab47b7be5bd0c46f","post-war & contemporary art 06/29/2016","Mark Tobey","Royal Landscape 1959",1094,1,4388,216.0599,1959,0.0810810810810811,"06/29/2016",0.5,8776,1,35176,33,0.861111111111111,0,82688.3678036471,0,4.5702329013326,"tempera / paper",2546,17,0.80952380952381,"Early","Medium"
"70","Bonhams Bond Street","London","d074d3f95ea24f5bb59d4d620f84c18f","post-war & contemporary art 06/29/2016","Jean-Paul Riopelle","Mint 1961",0,0,3564,323.884,1961,0.162162162162162,"06/29/2016",0.8,13849,1,35176,33,0.861111111111111,17043.1824712992,82688.3678036471,1.05596729678535,4.5702329013326,"oil / canvas",17845,19,0.730769230769231,"Early","Medium"
"71","Bonhams Bond Street","London","52338dbf60f7423296211245227c3e42","post-war & contemporary art 06/29/2016","Victor Vasarely","Vga-Kela 1968",61933,1,22216,4479.6249,1968,0.189189189189189,"06/29/2016",0.666666666666667,13849,1,35176,33,0.861111111111111,17043.1824712992,82688.3678036471,1.05596729678535,4.5702329013326,"acrylic / canvas",7079,107,0.798507462686567,"Early","Medium"
"72","Bonhams Knightsbridge","London","2e367032bef446b3b76c0f4c68d1e738","contemporary two / modern design 10/19/2011","Georges Mathieu","Untitled",600,1,281,265.9053,1959,0.644351464435146,"10/19/2011",0.739130434782609,1626,1,2303,48,0.672131147540984,1869.45098985242,2638.67050577987,1.60871453102932,1.45245678556973,"ink / paper",7510,17,0.739130434782609,"Medium","Small"
